"","COUNTRY","TOTAL_EARTHQUAKE","YEAR","MONTH","DAY"
"1","JORDAN",5,-2150,NA,NA
"2","TURKMENISTAN",11,1895,7,8
"3","SYRIA",33,1202,5,20
"4","GREECE",264,365,7,21
"5","ISRAEL",23,-31,9,2
"6","ITALY",326,1915,1,13
"7","LEBANON",14,551,7,9
"8","IRAN",380,856,12,22
"9","INDIA",98,1950,8,15
"10","TURKEY",329,1912,8,9
"11","KYRGYZSTAN",14,1946,11,2
"12","SPAIN",27,881,5,26
"13","EGYPT",15,1995,11,22
"14","PORTUGAL",23,1755,11,1
"15","CHINA",606,1668,7,25
"16","RUSSIA",150,1952,11,4
"17","ALBANIA",56,1893,6,14
"18","BULGARIA",18,1904,4,4
"19","GEORGIA",15,1905,10,21
"20","CYPRUS",6,1953,9,10
"21","PAKISTAN",52,1945,11,27
"22","SOUTH KOREA",20,1643,7,25
"23","AFGHANISTAN",59,1909,7,7
"24","MACEDONIA",12,1979,5,24
"25","TUNISIA",9,1957,2,20
"26","AZERBAIJAN",16,1667,11,NA
"27","THAILAND",4,2014,5,5
"28","FRANCE",43,1817,3,11
"29","KAZAKHSTAN",10,1889,7,11
"30","NORTH KOREA",6,1518,7,2
"31","SLOVENIA",22,1511,3,26
"32","IRAQ",24,1864,12,2
"33","JAPAN",406,2011,3,11
"34","ARMENIA",13,1988,12,7
"35","UK",13,1580,4,6
"36","UZBEKISTAN",14,1976,4,8
"37","ICELAND",17,1912,5,6
"38","SWITZERLAND",31,1601,9,8
"39","YEMEN",10,1982,12,13
"40","NEPAL",16,1505,6,6
"41","MOROCCO",20,2004,2,24
"42","CROATIA",48,1667,4,6
"43","UKRAINE",8,1927,9,11
"44","AUSTRIA",7,1590,9,15
"45","ALGERIA",56,1980,10,10
"46","BOSNIA-HERZEGOVINA",10,1969,10,27
"47","SLOVAKIA",3,2004,1,10
"48","SERBIA",15,1922,3,24
"49","PERU",184,1716,2,6
"50","IRELAND",1,1490,NA,NA
"51","VENEZUELA",66,1900,10,29
"52","USA",268,1964,3,28
"53","DOMINICAN REPUBLIC",18,1946,8,4
"54","GERMANY",9,1978,9,3
"55","ROMANIA",15,1977,3,4
"56","CHILE",197,1960,5,22
"57","AZORES (PORTUGAL)",26,1968,2,28
"58","MEXICO",203,1899,1,24
"59","HONDURAS",12,1856,8,4
"60","ECUADOR",64,1906,1,31
"61","MONTENEGRO",9,1979,4,15
"62","GUATEMALA",38,1942,8,6
"63","COLOMBIA",79,1826,6,18
"64","EL SALVADOR",38,1915,9,7
"65","COSTA RICA",34,1950,10,5
"66","PHILIPPINES",220,1897,9,21
"67","USA TERRITORY",40,1902,9,22
"68","PANAMA",23,1882,9,7
"69","INDONESIA",394,2004,12,26
"70","ETHIOPIA",13,1906,8,25
"71","GHANA",5,1862,7,10
"72","NICARAGUA",39,1898,4,29
"73","TAIWAN",96,1920,6,5
"74","CANADA",20,1949,8,22
"75","JAMAICA",19,1899,6,14
"76","CUBA",14,2020,1,28
"77","ANTIGUA AND BARBUDA",3,1690,4,16
"78","ARGENTINA",20,1944,1,15
"79","HAITI",16,1842,5,7
"80","MARTINIQUE",10,1906,12,3
"81","MYANMAR (BURMA)",33,1912,5,23
"82","BANGLADESH",17,1918,7,8
"83","HUNGARY",5,1834,10,15
"84","PAPUA NEW GUINEA",98,1919,5,6
"85","FRENCH GUIANA",1,1774,NA,NA
"86","SAINT LUCIA",2,1788,10,12
"87","TOGO",2,1788,NA,NA
"88","SIERRA LEONE",1,1795,5,20
"89","TRINIDAD AND TOBAGO",8,1888,1,10
"90","CANARY ISLANDS",2,1800,NA,NA
"91","SOUTH AFRICA",14,1942,11,10
"92","NORWAY",1,1819,8,31
"93","CONGO",6,1992,9,11
"94","UK TERRITORY",2,1983,11,30
"95","GRENADA",1,1822,12,1
"96","GUADELOUPE",9,1843,2,8
"97","NEW ZEALAND",67,1826,NA,NA
"98","BARBADOS",1,1831,8,11
"99","SAINT VINCENT AND THE GRENADINES",1,1844,8,30
"100","FRENCH POLYNESIA",1,1848,7,12
"101","TONGA",22,1919,4,30
"102","SUDAN",4,1990,5,20
"103","AUSTRALIA",23,1989,5,23
"104","VANUATU",54,1913,10,14
"105","BRITISH VIRGIN ISLANDS",1,1871,9,NA
"106","NEW CALEDONIA",20,1875,3,28
"107","COTE D'IVOIRE",2,1879,2,11
"108","FIJI",19,1919,1,1
"109","SRI LANKA",1,1882,1,NA
"110","ERITREA",1,1884,7,20
"111","URUGUAY",1,1888,6,5
"112","SOLOMON SEA",2,1895,3,6
"113","MONTSERRAT",1,1897,4,25
"114","BOLIVIA",6,1994,6,9
"115","SOLOMON ISLANDS",61,1977,4,21
"116","MONGOLIA",6,1905,7,9
"117","KERMADEC ISLANDS (NEW ZEALAND)",17,1986,10,20
"118","KIRIBATI",1,1905,6,30
"119","TAJIKISTAN",24,1907,10,21
"120","CAMEROON",2,1945,9,12
"121","ZAMBIA",2,1910,12,13
"122","MICRONESIA, FED. STATES OF",4,1911,8,16
"123","PALAU",1,1914,10,23
"124","SAMOA",8,1917,6,26
"125","CENTRAL AFRICAN REPUBLIC",1,1921,9,16
"126","VIETNAM",5,1935,11,1
"127","ATLANTIC OCEAN",5,1941,11,25
"128","INDIAN OCEAN",3,1928,3,9
"129","SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS",5,1929,6,27
"130","KENYA",2,1968,3,20
"131","PACIFIC OCEAN",2,1932,11,2
"132","UGANDA",3,1966,3,20
"133","BRAZIL",6,1986,11,30
"134","LIBYA",1,1963,2,21
"135","TANZANIA",6,2000,10,2
"136","ANTARCTICA",4,1998,3,25
"137","GABON",1,1974,9,23
"138","MALAYSIA",3,1976,7,26
"139","BELGIUM",1,1983,11,8
"140","GUINEA",1,1983,12,22
"141","MALAWI",4,1989,3,10
"142","DJIBOUTI",1,1989,8,20
"143","BERING SEA",1,1991,2,21
"144","NETHERLANDS",3,1992,4,13
"145","WALLIS AND FUTUNA (FRENCH TERRITORY)",1,1993,3,12
"146","LAOS",2,2007,5,16
"147","RWANDA",4,2015,8,7
"148","BHUTAN",5,2009,9,21
"149","BURUNDI",1,2004,2,24
"150","SAUDI ARABIA",3,2009,5,19
"151","POLAND",6,2004,9,21
"152","MOZAMBIQUE",3,2006,2,22
"153","CZECH REPUBLIC",1,2008,11,22
"154","MADAGASCAR",1,2017,1,11
"155","COMOROS",1,2018,5,15
